act,act_canonical,category
914,28 of Karnataka Civil Courts Act,Civil
2252,"A.P. BUILDINGS (LEASE, RENT AND EVICTION) CONTROL ACT, 1960",Civil
2319,"AGRA TENANCY ACT, 1926",Civil
2345,"ANDHRA PRADESH (A.A.) ESTATES LAND (REDUCTION OF RENT) ACT, 1947",Civil
2348,ANDHRA PRADESH (ANDHRA AREA) TENANCY ACT,Civil
2438,"APPRENTICES ACT, 1961",Civil
2529,Administration of Evacuee Property Act 1950,Civil
2865,Apprentices Act,Civil
2866,"Apprentices' Act, 1850",Civil
2867,ApprenticesAct,Civil
3248,"BOMBAY RENTS, HOTEL AND LODGING HOUSE RATES CONTROL ACT, 1947",Civil
3330,"Benami Transactions (Prohibition of the Right to Recover Property) Act, 1988",Civil
3383,Bengal Tenancy Act,Civil
3386,"Bengal, Agra and Assam Civil Courts Act",Civil
3387,"Bengal, Agra and Assam Civil Courts Act 1887",Civil
3388,"Bengal, Agra and Assam Civil Courts(Bihar Amendment )Act",Civil
3645,Bombay Civil Courts Act,Civil
3688,"Bombay Rents, Hotel and Lodging House Rates",Civil
3701,Bombay Tenancy and Agricultural Land (Vidarbha Region and Kutch Area) Act,Civil
3705,Bombay Tenancy and Agricultural Lands Act,Civil
3744,Brentford Electric (India) Limited (Acquisition  and Transfer  of Undertakings) Act 1987,Civil
3763,"Building (Lease,Rent and Eviction)Control Rules,(Bihar)",Civil
3786,"Buildings (Lease and Rent Control) Act, 1965 (Kerala)",Civil
3964,CHHOTANAGPUR TENANCY ACT,Civil
4019,CIVIL ACT,Civil
4033,CIVIL PROCEEDURE CODE,Civil
4039,CIVIL RULES OF PRACTICE,Civil
4604,CityTenancyProtectionAct,Civil
4605,Civil,Civil
4613,Civil Cases,Civil
4618,Civil Courts Act,Civil
4619,Civil Courts Act 1958,Civil
4620,"Civil Courts Act, 1957 (Kerala)",Civil
4622,"Civil Courts Act, Svt. 1977 (1920 A.D.)",Civil
4624,Civil Defence Act,Civil
4625,Civil Defence Act 1968,Civil
4636,Civil Misc 22/70,Civil
4664,Civil Proceedure Act,Civil
4669,Civil Procudure Code,Civil
4673,"Civil Rules of Practice, 1971 (Kerala)",Civil
4678,"Civil Services (Vigilance Tribunal) Rules, 1960 (Kerala)",Civil
4689,CivilDefenceAct,Civil
4690,CivilProcedureCode,Civil
4754,Code of Civil Proceedure,Civil
4763,CodeofCivilProcedure,Civil
5223,DECLARATION AND INJUNCTION,Civil
5224,DECLARATION AND MANDATORY INJUNCTION,Civil
5361,Declaration Of Title,Civil
5367,Declaration and Mandatory Injuction\,Civil
5369,Declaration and Partition  \,Civil
5374,Declaration and permanent injunction,Civil
5446,"Delhi Rent Control Act,1958",Civil
6565,For Fixation of Boundary & Permanant Prohibitory injunction,Civil
6572,For fixation of boundary & permenant prohibitory injunction,Civil
6574,For fixation of boundary and permanent prohibitory injunction,Civil
6575,For fixation of boundary and permemnant prohibitory injunction,Civil
6576,For fixation of boundary and permenant prohibitory injunction,Civil
6675,Fotr fixation of Boundary & permanent prohibitory injunction,Civil
6677,French Code Civil,Civil
6751,"GUJARAT (BOMBAY) RENTS, HOTEL AND LODGING HOUSE RATES CONTROL ACT, 1947",Civil
7078,H.P. Urban Rent Control Act 1987,Civil
7145,"HP URBAN RENT COTROL ACT, 1987",Civil
7379,"Hyd. House ( Rent, Eviction & Lease ) Controal Act,1954",Civil
7381,"Hyderabad Houses (Rent Eviction and lease) Control Act,1954",Civil
9458,Lease And Rent Control Act 1965,Civil
9459,Lease and Rent Control Act,Civil
9461,LeaseandRentControlAct,Civil
9670,MACT(Execution) CIVIL \,Civil
9719,MARRIED WOMEN'S PROPERTY ACT,Civil
9931,Madras Public Property Malversation Act 1837\,Civil
9942,MadrasCityCivilCourtAct,Civil
9945,MadrasCivilCourtsAct,Civil
10117,Maharashtra Rent Control Act,Civil
10167,Maintenance and Welfare of Parents and Senior Citizens Act,Civil
10496,Mizoram Civil Court Act,Civil
10497,Mizoram Civil Courts Act,Civil
12345,"PARTITION ACT, 1893",Civil
12347,PARTITION AND SEPARATE POSSESSION,Civil
12610,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",Civil
12698,"PROTECTION OF CIVIL RIGHTS ACT, 1955",Civil
12813,Partition  \,Civil
12814,Partition Act,Civil
12946,Permanemt Injunction,Civil
13096,Pondicherry Buildings (Lease & Rent Control) Act,Civil
13116,Possession & Perpetual & Mandatory Injuction\,Civil
13120,Possession and permanent Injuction\,Civil
13320,Prevention of Damage to Public Property Act,Civil
13327,Prevention of Defacement of Property Act (Maharashtra),Civil
13427,PreventionofDamagetoPublicPropertyAct,Civil
13753,ProtectionofCivilRightsAct,Civil
14129,RAILWAY PROPERTY (UNLAWFUL POSSESSION) ACT,Civil
14130,"RAILWAY PROPERTY (UNLAWFUL POSSESSION) ACT, 1966",Civil
14264,RAJASTHAN RENT CONTROL ACT,Civil
14267,RAJASTHAN RENT CONTROL ACT. 2001,Civil
14896,Regular Civil Appeal,Civil
14925,Rent Act,Civil
14931,Rent Control Act,Civil
14972,RequisitioningandAcquisitionofImmovablePropertyAct,Civil
16756,"THE PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1987",Civil
16768,"THE PROTECTION OF CIVIL RIGHTS ACT, 1955",Civil
16782,"THE RAILWAY PROPERTY (UNLAWFUL POSSESSION) ACT, 1966",Civil
16920,TRANSFER OF PROPERTY ACT,Civil
16921,"TRANSFER OF PROPERTY ACT, 1882",Civil
17688,"The Tamil Nadu Buildings (Lease and Rent Control) Act, 1960",Civil
17850,TransferofProperty(Amendment)SupplementaryAct,Civil
17851,TransferofPropertyAct,Civil
18199,U.P. Rent Control Act 1972,Civil
23247,U/s 28 of the Karnataka Civil Courts Act.,Civil
23981,U/s.27 2 Karnataka Rent Act,Civil
24111,U/sec 28 of civil Court act,Civil
24223,U/sec. 28 Civil Courts Act.,Civil
24828,UNDER SECTION 28 OF CIVIL COURT ACT,Civil
24973,US 106 OF THE TRANSFER OF PROPERTY,Civil
25103,Under Civil Procudure Code,Civil
25984,Under Sec. 27of 2 and 31 of 1 a  of Kar. Rent Act 1999,Civil
27285,Uttar Pradesh Cantonments (Control of Rent and Eviction) Repeal Act,Civil
27399,Vacate Possession and Delivery Possession,Civil
27644,West Bengal Defacement of Property Act 1976\,Civil
27710,West Bengal Premises Tenancy Act,Civil
28018,declaration,Civil
28271,partition and Possession,Civil
28282,permanent injunction,Civil
28295,possession  \,Civil
29757,under section 28 of Karnataka Civil Courts Act,Civil
32,....U/o VII Rule 1 Of CPC,Commercial
71,1.Code of Civil Procedure,Commercial
766,21 RULE 11 of CPC,Commercial
768,21 RULE 26 R/W SEC.151 OF CPC.,Commercial
770,21 RULE 43 48 AND 54 OF CPC,Commercial
771,21 RULE 46 A R/W SEC 151 OF CPC,Commercial
775,21 Rule 11 CPC,Commercial
793,21 rule of 11 CPC,Commercial
854,26 AND VII R1 OF CPC,Commercial
861,26 R/w Order 7 Rule 1 of CPC,Commercial
862,26 RULE 13 OF CPC,Commercial
863,26 U/O 7 RULE 1 AND 2 R/2 SEC. 151 CPC,Commercial
866,26 of CPC.,Commercial
868,26 r .w order VII Rule 1 of CPC,Commercial
929,2Code of Civil Procedure,Commercial
1076,32 RULE 1 OF CPC,Commercial
1145,33 RULE 1 OF CPC,Commercial
1611,41 RULE 1 OF CPC,Commercial
1639,420 OF CPC,Commercial
1876,7 RULE 1 AND 2 CPC,Commercial
1883,7 Rule 1 R/W Sec. 26 of CPC,Commercial
1887,7 Rule 1 and 3 cpc,Commercial
1889,7 Rule 1 of CPC read with 26 of CPC,Commercial
1890,7 Rule 1 r/w 26 of CPC,Commercial
1893,7 Rule 3 of CPC,Commercial
