state_code,dist_code,court_no,court_historical_median_resolution,pending_cases_count
1,1,3,522.0,210341
1,1,7,1088.0,10056
1,1,10,357.0,55843
1,2,1,220.0,152475
1,2,3,616.0,40670
1,3,2,656.0,78431
1,3,4,556.0,17478
1,3,5,1186.0,9691
1,3,20,900.0,11774
1,4,1,177.0,224129
1,4,6,1142.5,8066
1,4,9,351.0,62722
1,4,12,1252.5,1060
1,4,14,1645.0,4782
1,5,1,151.0,250693
1,5,5,230.0,139789
1,7,1,154.0,249631
1,7,2,354.0,141172
1,7,4,264.0,162247
1,7,6,336.0,100549
1,7,8,247.0,83424
1,7,11,364.0,77472
1,7,15,409.0,47929
1,7,16,331.0,45251
1,7,17,371.0,57268
1,8,1,154.0,249632
1,8,2,357.0,140463
1,8,3,617.0,39161
1,8,4,223.0,181636
1,8,5,226.0,141207
1,8,6,328.0,102120
1,8,7,368.0,99343
1,8,8,246.0,83582
1,8,9,343.0,63513
1,8,10,298.0,60853
1,8,11,363.0,77686
1,9,1,218.0,147595
1,9,3,617.0,39311
1,9,6,332.0,101386
1,9,15,401.0,48527
1,10,1,155.0,248948
1,10,2,362.0,138933
1,10,4,228.0,179447
1,10,5,246.0,134229
1,10,6,329.0,102054
1,10,7,368.0,99418
1,10,9,424.0,56267
1,11,3,308.0,359235
1,11,4,491.0,65581
1,11,5,934.0,26923
1,11,7,368.0,99419
1,11,8,258.0,81702
1,12,1,216.0,143546
1,12,10,307.0,60115
1,12,11,369.0,76816
1,13,1,157.0,247868
1,13,2,354.0,141174
1,13,4,233.0,176733
1,13,6,328.0,102152
1,13,7,395.0,95361
1,13,9,350.0,62879
1,13,11,364.0,77608
1,13,12,405.0,80885
1,13,13,350.0,51044
1,13,14,332.0,47945
1,14,1,157.0,247790
1,14,2,355.0,141031
1,14,4,223.0,181549
1,14,5,224.0,141686
1,14,6,332.0,101442
1,14,7,368.0,99342
1,14,8,246.0,83562
1,14,9,346.0,63234
1,14,10,298.0,60898
1,14,12,424.0,78167
1,14,13,349.0,51068
1,14,15,402.0,48481
1,14,16,322.0,46051
1,14,17,377.0,56677
1,14,18,359.0,34062
1,14,19,362.0,42658
1,14,20,375.0,29320
1,14,21,245.0,30488
1,14,22,179.0,27224
1,15,2,363.0,138848
1,15,4,223.0,181550
1,15,5,225.0,141535
1,15,6,328.0,102145
1,15,8,304.0,75040
1,15,10,298.0,60892
