iter	MultiClass
0	1.07259699
1	1.052687911
2	1.036377227
3	1.022729598
4	1.011972169
5	1.002558858
6	0.9936733111
7	0.9864161934
8	0.9809240434
9	0.9761384296
10	0.9717276249
11	0.9670330037
12	0.9633293225
13	0.9605589723
14	0.9575468063
15	0.954842692
16	0.9520222499
17	0.9500190012
18	0.948076782
19	0.9468032878
20	0.9449605496
21	0.9434260227
22	0.9411225312
23	0.9399434972
24	0.9379138581
25	0.93654608
26	0.9356502724
27	0.9349519352
28	0.9336990266
29	0.9324889358
30	0.9316199397
31	0.9307337191
32	0.9298774129
33	0.9288540789
34	0.9282071052
35	0.9273672987
36	0.926289068
37	0.9254827796
38	0.924729787
39	0.9240226148
40	0.9231748041
41	0.9225691829
42	0.921361926
43	0.9207866738
44	0.9200930572
45	0.919428629
46	0.9190381597
47	0.9187342458
48	0.9181820205
49	0.9175799883
50	0.9167784464
51	0.9161260876
52	0.9157419784
53	0.9148921218
54	0.9145520935
55	0.9138264475
56	0.9135850003
57	0.9128289883
58	0.9124227066
59	0.9121498456
60	0.9119035966
61	0.9112482601
62	0.9108028759
63	0.9104141756
64	0.909916584
65	0.9094913691
66	0.9088893958
67	0.9082050454
68	0.9079971796
69	0.9072642956
70	0.9070387833
71	0.9064867007
72	0.9060365442
73	0.9055986637
74	0.9052273309
75	0.9050418784
76	0.9048154522
77	0.9045189603
78	0.904228704
79	0.9038582594
80	0.9036299672
81	0.9033760211
82	0.902836833
83	0.9022928413
84	0.9016232763
85	0.9013512562
86	0.9010628264
87	0.9007750102
88	0.9005921328
89	0.9002285916
90	0.8999253404
91	0.8996046515
92	0.8993530181
93	0.8987468286
94	0.8984871588
95	0.8982951319
96	0.8979129043
97	0.8977185019
98	0.8975277394
99	0.8973005519
100	0.8972129191
101	0.8970458985
102	0.8968677598
103	0.8965431483
104	0.8963210551
105	0.8960485896
106	0.8958007689
107	0.8956008827
108	0.8952313528
109	0.8949342844
110	0.8946338947
111	0.8944555154
112	0.8943487391
113	0.8941286741
114	0.8939048075
115	0.8935708725
116	0.8934057069
117	0.8929489197
118	0.8926943328
119	0.892494282
120	0.8923260373
121	0.8921671309
122	0.8919330932
123	0.8917207122
124	0.8915612159
125	0.8913205736
126	0.8910650242
127	0.8908636462
128	0.8904797461
129	0.8902659386
130	0.8900501939
131	0.8898741131
132	0.8896819589
133	0.8894692629
134	0.8893286343
135	0.8890288383
136	0.8888429316
137	0.8886028466
138	0.8883937621
139	0.8881029236
140	0.8880279655
141	0.8879196273
142	0.8877641422
143	0.8876127063
144	0.8874143289
145	0.8871503448
146	0.8870391579
147	0.8868303579
148	0.8866282356
149	0.8863427216
150	0.8860958121
151	0.8858588034
152	0.885676328
153	0.8854380102
154	0.8852487487
155	0.8852146963
156	0.885165983
157	0.8849734446
158	0.8848361237
159	0.8847639192
160	0.8845287365
161	0.8843036136
162	0.884225285
163	0.8841023927
164	0.8839864566
165	0.8837685157
166	0.8835365877
167	0.8834256038
168	0.8832789713
169	0.8831218939
170	0.8830451897
171	0.8828857769
172	0.8827651086
173	0.8826894712
174	0.8825569593
175	0.8823924948
176	0.882160712
177	0.8819963548
178	0.8818363901
179	0.8816627363
180	0.8814893393
181	0.8813626033
182	0.8812146951
183	0.8809680585
184	0.8808103662
185	0.88058533
186	0.8804787525
187	0.8804068376
188	0.8803013463
189	0.8801260777
190	0.8799590617
191	0.8798280106
192	0.8796604527
193	0.8795216063
194	0.8794423627
195	0.8793402197
196	0.8791373518
197	0.8789504572
198	0.8787278593
199	0.8786023584
200	0.8785105908
201	0.8783022089
202	0.8781685204
203	0.8780852345
204	0.8778780829
205	0.8777561391
206	0.8776176803
207	0.8774757865
208	0.8773146096
209	0.8771942439
210	0.8770855057
211	0.8768656009
212	0.8768114725
213	0.876640269
214	0.8765150994
215	0.8763983356
216	0.8762428589
217	0.8761130518
218	0.8760039364
219	0.8758340416
220	0.8757957268
221	0.8756700093
222	0.8755565738
223	0.8753866817
224	0.8752417503
225	0.8750877947
226	0.8750045241
227	0.8748310464
228	0.8746939656
229	0.8746036398
230	0.8745571096
231	0.8745008285
232	0.8744149758
233	0.874282017
234	0.8741442257
235	0.8739237717
236	0.8737048155
237	0.8735902112
238	0.8734595846
239	0.8734087549
240	0.8732448895
241	0.8731443231
242	0.872968463
243	0.8727689465
244	0.872716095
245	0.8726751601
246	0.8725900178
247	0.8725253151
248	0.8724807351
249	0.8723596474
250	0.8722061944
251	0.872125151
252	0.8720500511
253	0.8718914695
254	0.8718042187
255	0.8716253275
256	0.8715438292
257	0.8713788221
258	0.8712952443
259	0.8712000054
260	0.8710907168
261	0.8709495462
262	0.8708690253
263	0.8707497452
264	0.8706070047
265	0.8705417511
266	0.8704542176
267	0.8703572161
268	0.8702849893
269	0.8702007949
270	0.8701416212
271	0.86999453
272	0.8699047759
273	0.8698282977
274	0.8697353478
275	0.8696382338
276	0.8695226833
277	0.8694439714
278	0.8693346053
279	0.8692342551
280	0.8691559575
281	0.8691303366
282	0.8689761585
283	0.8688576068
284	0.868778289
285	0.8687107325
286	0.8686316501
287	0.8685631502
288	0.8685576086
289	0.8684412355
290	0.8683307257
291	0.8682676236
292	0.8681501166
293	0.8681139431
294	0.8680111293
295	0.8679387178
296	0.8678563677
297	0.8677650198
298	0.867711073
299	0.8676239404
