iter	Passed	Remaining
0	169	50745
1	212	31610
2	256	25393
3	302	22369
4	349	20630
5	398	19516
6	447	18719
7	500	18266
8	547	17710
9	595	17279
10	650	17083
11	703	16883
12	756	16705
13	807	16497
14	863	16415
15	915	16244
16	973	16197
17	1037	16249
18	1100	16282
19	1157	16203
20	1214	16131
21	1266	16006
22	1325	15968
23	1378	15853
24	1439	15836
25	1500	15814
26	1553	15706
27	1609	15632
28	1661	15523
29	1714	15434
30	1766	15331
31	1816	15211
32	1866	15099
33	1921	15035
34	1970	14920
35	2025	14853
36	2088	14847
37	2141	14764
38	2192	14674
39	2248	14614
40	2303	14548
41	2362	14510
42	2416	14443
43	2469	14365
44	2525	14309
45	2576	14227
46	2630	14158
47	2680	14071
48	2747	14072
49	2803	14017
50	2867	13998
51	2928	13966
52	2985	13913
53	3048	13886
54	3104	13827
55	3170	13815
56	3223	13743
57	3287	13716
58	3349	13682
59	3403	13614
60	3462	13567
61	3524	13528
62	3582	13478
63	3642	13432
64	3700	13380
65	3757	13322
66	3815	13270
67	3881	13241
68	3934	13173
69	3993	13123
70	4047	13054
71	4110	13017
72	4169	12965
73	4227	12912
74	4289	12867
75	4343	12801
76	4402	12749
77	4463	12704
78	4522	12650
79	4583	12605
80	4637	12539
81	4696	12486
82	4755	12432
83	4817	12387
84	4880	12345
85	4940	12294
86	5002	12248
87	5066	12205
88	5130	12163
89	5199	12131
90	5257	12074
91	5312	12011
92	5370	11952
93	5429	11899
94	5490	11847
95	5550	11794
96	5615	11752
97	5676	11701
98	5737	11649
99	5791	11582
100	5847	11521
101	5897	11448
102	5951	11383
103	6004	11315
104	6058	11251
105	6117	11195
106	6180	11147
107	6237	11089
108	6302	11043
109	6360	10986
110	6419	10930
111	6475	10870
112	6533	10812
113	6597	10763
114	6655	10706
115	6716	10653
116	6784	10611
117	6851	10567
118	6914	10516
119	6975	10462
120	7033	10404
121	7087	10340
122	7142	10277
123	7206	10228
124	7262	10167
125	7324	10114
126	7383	10058
127	7444	10003
128	7506	9950
129	7568	9897
130	7626	9838
131	7681	9775
132	7742	9722
133	7801	9664
134	7861	9608
135	7927	9560
136	7999	9517
137	8056	9457
138	8119	9404
139	8179	9348
140	8239	9290
141	8292	9226
142	8349	9166
143	8402	9102
144	8457	9040
145	8517	8984
146	8574	8924
147	8630	8863
148	8687	8804
149	8744	8744
150	8805	8689
151	8862	8629
152	8918	8568
153	8982	8515
154	9038	8455
155	9086	8387
156	9143	8328
157	9201	8269
158	9255	8207
159	9307	8144
160	9368	8088
161	9426	8030
162	9480	7968
163	9536	7908
164	9596	7851
165	9656	7795
166	9720	7741
167	9776	7681
168	9832	7621
169	9891	7564
170	9945	7502
171	10001	7442
172	10060	7385
173	10115	7324
174	10179	7271
175	10240	7214
176	10298	7156
177	10352	7095
178	10412	7038
179	10469	6979
180	10523	6919
181	10579	6859
182	10636	6800
183	10698	6744
184	10752	6683
185	10808	6624
186	10865	6565
187	10917	6504
188	10967	6441
189	11024	6382
190	11082	6324
191	11141	6266
192	11201	6210
193	11257	6150
194	11316	6093
195	11368	6032
196	11422	5972
197	11475	5911
198	11536	5855
199	11590	5795
200	11643	5734
201	11705	5678
202	11758	5618
203	11812	5558
204	11873	5502
205	11927	5442
206	11983	5383
207	12033	5322
208	12092	5265
209	12143	5204
210	12195	5143
211	12251	5085
212	12302	5025
213	12363	4968
214	12420	4910
215	12482	4854
216	12544	4797
217	12597	4738
218	12661	4682
219	12727	4628
220	12775	4566
221	12825	4506
222	12885	4449
223	12941	4390
224	13000	4333
225	13055	4274
226	13109	4215
227	13165	4157
228	13218	4098
229	13270	4038
230	13320	3978
231	13371	3919
232	13429	3861
233	13481	3802
234	13536	3744
235	13599	3687
236	13658	3630
237	13716	3573
238	13772	3515
239	13824	3456
240	13882	3398
241	13940	3341
242	13998	3283
243	14057	3226
244	14106	3166
245	14153	3106
246	14205	3048
247	14256	2989
248	14310	2930
249	14368	2873
250	14433	2817
251	14487	2759
252	14540	2701
253	14601	2644
254	14658	2586
255	14722	2530
256	14774	2472
257	14832	2414
258	14884	2356
259	14945	2299
260	14999	2241
261	15057	2183
262	15112	2126
263	15167	2068
264	15225	2010
265	15275	1952
266	15330	1894
267	15389	1837
268	15442	1779
269	15494	1721
270	15552	1664
271	15611	1607
272	15668	1549
273	15719	1491
274	15776	1434
275	15831	1376
276	15890	1319
277	15947	1262
278	16000	1204
279	16062	1147
280	16115	1089
281	16163	1031
282	16218	974
283	16273	916
284	16327	859
285	16377	801
286	16429	744
287	16487	686
288	16530	629
289	16588	572
290	16640	514
291	16695	457
292	16753	400
293	16802	342
294	16861	285
295	16918	228
296	16977	171
297	17036	114
298	17091	57
299	17146	0
